gene,expression
CSNK2A1P,8.812582771194172
XRRA1,8.986533363719234
C20orf56,0.15797912488605287
C20orf54,8.517254147675477
TXNIP,13.122839288969908
SLC36A4,6.938670920692791
LOC389791,1.7094845943482224
ZNF876P,4.28285214220602
MLF1,8.851171741112116
QPRT,7.7992160437556874
IFT140,9.72848195077485
MLF2,11.983874931631705
TMEM14C,10.864046034639923
FAM157A,3.6753206927985396
FAM157B,1.153022971741112
FANCF,9.134437465815868
MECOM,7.604839015496807
ITGA2B,2.932374840474019
RSPH1,6.5800385597082975
IFI16,10.671278213309023
SOX6,4.7609910665451265
LOC440944,7.735754694621704
TTC1,9.946387329079297
C9orf128,2.235949954421149
C9orf129,6.365678942570651
MYT1L,0.47554621695533306
C9orf125,4.7095645396536
C9orf122,4.042995989061071
CEPT1,9.38833135824978
KIAA1267,10.176748313582504
RTCD1,9.351874111212412
CFHR2,0.03647876025524156
CFHR3,1.4090907930720142
CLIC4,12.084716408386498
CLIC5,6.495197174111213
CLIC2,7.706985323609848
CLIC3,5.41617775752051
CFHR4,0.12227793983591614
CFHR5,0.299838286235187
KRTAP2-2,0.10605341841385599
KRTAP2-1,0.13981011850501382
CXorf1,0.10336317228805827
KIAA0020,9.387265907019133
KRTAP2-4,0.004902825888787603
TMEM147,10.541119234275277
ASGR1,3.226051230628984
ASGR2,2.5336352780309928
PCDHA1,4.094554147675478
FOXL2,1.168407474931632
RIT1,9.618693072014583
TMEM141,10.059984138559702
FOXL1,4.623716408386512
SF1,12.065204102096638
PCDHA6,4.999211303555153
PKIB,9.086451777575208
TMEM149,7.135459617137659
API5,11.32589106654512
KRTCAP3,8.194952051048308
NUMBL,8.583308659981766
RTKN2,7.290061440291692
RNF180,6.315962078395619
P2RX7,5.876033637192344
SECISBP2L,10.032779945305384
SBF1P1,0.6258386508659984
LOC100128811,0.18642151321786696
HAS2,5.841035369188692
KIAA1199,7.660926618049222
HLA-DPA1,12.199166818596176
ZSWIM3,6.8721259799452925
FAM32A,10.665348495897904
KIAA1191,11.078071376481306
FER1L6,1.2668958067456706
ALOX12P2,3.0980614402917057
FER1L4,5.584730720145854
FER1L5,2.03222962625342
CA5B,7.894662260711023
ZNF559,7.737257702825883
VWA1,10.651373564266175
C19orf22,10.588700182315419
C19orf23,4.053649134001822
C19orf20,5.615475752051053
C19orf21,8.820808204193243
C19orf26,3.461482133090246
ZMAT4,3.0288640838650847
C19orf24,9.090967547857788
C19orf25,8.650628714676406
MYBL1,7.709742935278029
NR1D1,8.670098997265265
C19orf28,10.035297994530543
C19orf29,8.64433773928898
ITGB1BP1,9.651295077484077
ITGB1BP3,0.15600838650865995
ITGB1BP2,2.199938468550592
ZNF7,9.135155970829546
ZNF2,7.157802005469462
ZNF3,9.731374749316307
CTCFL,3.559191795806742
PHLDA1,9.907947310847774
RPL31,13.418392251595273
ZNF8,6.716976390154962
PCP4L1,3.597461804922513
C11orf17,8.178707930720147
C11orf16,1.4622817684594347
ZAP70,5.649800273473106
SNORD115-9,0.0
C11orf10,10.268127620783934
ZCCHC13,0.008324065633546035
UFSP2,9.09758113035551
OGFR,9.978081312670927
EPM2AIP1,9.828163263445738
CDC5L,10.207182497721062
RAC2,9.244604284412038
RAC3,8.249021422060169
RAC1,12.572555241567906
SBDS,10.719329808568826
RCL1,8.529521422060174
SBK2,0.7183198723792159
MRPS18A,9.42985861440291
CPLX2,1.1967426618049237
CPLX3,1.1875019143117607
ORC3L,9.279788422971738
CPLX1,6.508883773928895
AP2A1,11.041113309024615
CPLX4,0.3574545123062899
AP2A2,10.666880401093879
LOC389333,5.426144211485867
LILRB3,5.48595733819508
CADPS,2.860614402917049
FIGNL1,8.3403447584321
KDM4DL,0.4485419325432997
PBX3,8.790262716499551
PBX1,12.452944120328162
AIRE,0.2575284412032814
TMOD2,8.066731722880588
MFSD11,9.082680036463064
NSUN2,10.745574475843206
NSUN5,9.222354238833185
NSUN4,9.226134092980868
NSUN7,6.743192980856879
NSUN6,7.742739288969925
PRAMEF4,0.038506472196900635
PRAMEF5,0.009526618049225161
PRAMEF6,0.026556791248860533
TUBG2,7.967323974475852
FAM71F1,1.128360164083866
PRAMEF1,0.05858550592525069
PRAMEF2,0.04546189608021877
FAM71F2,2.7013113035551486
PTCH2,4.524058887876029
OR7G1,0.006112032816773018
PCDHGA2,4.711186690975384
PRAMEF9,0.009267092069279852
PRDM9,0.07665360072926163
SGK269,9.863187693710112
FAM108B1,8.222405195989067
TBC1D1,10.125586144029164
ZXDA,5.892426435733814
PAMR1,6.16754740200547
RAD9A,8.10020601640838
ERGIC2,9.711362078395613
ERGIC3,12.199714585232458
CDR2L,9.41303445761166
